,BreedName,ZipCode,counts
192,Shih Tzu Crossbreed,10705,7
193,Poodle Crossbreed,10706,4
194,Maltese Crossbreed,10707,2
195,French Bulldog,10708,6
196,Golden Retriever,10710,4
197,Poodle,10801,6
198,Australian Shepherd,10803,3
199,Havanese,10804,1
200,Shepard Crossbreed,10805,4
201,Labrador Retriever,10901,5
202,American Bully,10918,2
203,Maltese,10920,3
204,Boston Terrier,10925,2
205,Shih Tzu Crossbreed,10926,2
206,Labrador Retriever Crossbreed,10927,3
207,Siberian Husky,10930,4
208,Labrador Retriever,10933,13
209,German Shepherd Crossbreed,10940,6
210,Shih Tzu,10941,2
211,Beagle Crossbreed,10950,6
212,Shih Tzu,10952,1
213,Shih Tzu,10954,2
214,Morkie,10956,5
215,Yorkshire Terrier Crossbreed,10958,2
216,Bernese Mountain Dog,10960,1
217,"Bull Dog, English",10962,2
218,Pomeranian Crossbreed,10964,1
219,Shepard Crossbreed,10965,2
220,Boxer,10968,1
221,Siberian Husky Crossbreed,10970,2
222,Poodle Crossbreed,10971,2
223,Pomeranian Crossbreed,10977,2
224,Maltese Crossbreed,10980,2
225,Maltese Crossbreed,10983,1
226,Cocker Spaniel Crossbreed,10984,1
227,Chihuahua,10987,1
228,Boxer,10989,1
229,Jack Russell Terrier,10990,3
230,Ibizan Hound,10992,3
231,Cocker Spaniel,10993,2
232,Beagle Crossbreed,10996,2
233,Shih Tzu,11001,20
234,Cavalier King Charles Spaniel,11002,1
235,American Pit Bull Terrier/Pit Bull,11003,6
236,Yorkshire Terrier,11004,60
237,Papillon,11005,5
238,Cockapoo,11007,1
239,West High White Terrier,11010,8
240,Yorkshire Terrier,11016,1
241,Shih Tzu,11020,3
242,Border Collie,11021,4
243,Havanese,11023,2
244,Maltese,11024,2
245,Boston Terrier,11025,1
246,Pomeranian,11026,6
247,Rottweiler Crossbreed,11030,3
248,Shiba Inu,11037,2
249,Maltese,11040,22
250,Shiba Inu,11050,5
251,Yorkshire Terrier,11094,4
252,Brussels Griffon,11096,7
253,Chihuahua,11101,273
254,Chihuahua,11102,188
255,Chihuahua,11103,137
256,Chihuahua,11104,157
257,Chihuahua,11105,184
258,Shih Tzu,11106,199
259,Pomeranian,11108,1
260,Labrador Retriever Crossbreed,11109,61
261,Labrador Retriever,11122,1
262,Morkie,11123,3
263,Lhasa Apso,11134,2
264,Yorkshire Terrier,11141,5
265,Labrador Retriever,11201,540
266,"Poodle, Toy",11202,7
267,Shih Tzu,11203,232
268,Yorkshire Terrier,11204,292
